,Company,Name,Rating_number_customer,Heading,Comment,Stars,Invitation,Dates
0,skatedeluxe,Sandra,2,Jederzeit wieder,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Sehr schnelle Lieferung, gutes Preis-Leistungsverhältnis.</p>",5,Auf Einladung,5. März 2025
1,skatedeluxe,customer,2,Schnelle Lieferung,No comment,5,Auf Einladung,5. März 2025
2,skatedeluxe,Dexter,1,Bester Service und top Qualität,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Der bestellvorgang war unkompliziert, <br/>Die gewünschten Produkte kamen schnell und entsprechen der zu erwartenden Qualität,<br/> Immer wieder gern 👍✌️</p>",5,Auf Einladung,4. März 2025
3,skatedeluxe,Stephan Lameck,1,Schnelligkeit,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Ausgefallene Produkte</p>",5,Auf Einladung,4. März 2025
4,skatedeluxe,Fritz Brack,2,Super Service,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Super Service, extrem schnelle Lieferung, Top Qualität zu super Preisen</p>",5,Auf Einladung,3. März 2025
5,skatedeluxe,Rudolfo,2,Lieferung super schnell und Retoure war…,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Lieferung super schnell und Retoure war auch kein Problem </p>",5,Auf Einladung,28. Feb. 2025
6,skatedeluxe,HiFi-Fan,3,Die Ware hat eine sehr hohe Qualität !,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Die Ware hat eine sehr hohe Qualität !<br/>Die Lieferung erfolgt schnell + zuverlässig !</p>",5,Auf Einladung,26. Feb. 2025
7,skatedeluxe,holger neumann,3,zuverlässig,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">zuverlässig, superschneller Versand, tolle Rabatte</p>",5,Auf Einladung,25. Feb. 2025
8,skatedeluxe,Sebastian Konrad,3,Stets gute Preise und tolle Aktionen,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Stets gute Preise und tolle Aktionen. Große Markenvielfalt. Schnelle Lieferung.</p>",5,Auf Einladung,25. Feb. 2025
9,skatedeluxe,Nina,1,Super Schnelle Lieferung und guter…,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Super Schnelle Lieferung und guter Service.<br/></p>",5,Auf Einladung,25. Feb. 2025
10,skatedeluxe,Chris,1,Gute Ware zu gutem Preis!,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Gute Ware zu gutem Preis!! Meine Söhne sind sehr zufrieden! Schneller Versand, alles ohne jegliche Probleme! Macht weiter so✌🏻</p>",5,Auf Einladung,25. Feb. 2025
11,skatedeluxe,Konstanze Türker,1,Schnelle Lieferung,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Schnelle Lieferung, tolles Produkt. Bin sehr zufrieden.</p>",5,Auf Einladung,25. Feb. 2025
12,skatedeluxe,Daniel Ludwig,2,Nach anfänglichen lieferproblemen hat…,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Nach anfänglichen lieferproblemen hat bei der nachliefern alles einwandfrei geklappt. </p>",5,Auf Einladung,24. Feb. 2025
13,skatedeluxe,Markus P. aus Düsseldorf,6,Alles tutti,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Von der Bestellung bis zur Lieferung lief alles perfekt. Der aufgerufene Preis war ebenfalls sehr gut. <br/>Alles in allem bin ich super zufrieden. <br/>Ach ja, die Lieferung war sogar noch einen Tag früher als ursprünglich gedacht. </p>",5,Auf Einladung,24. Feb. 2025
14,skatedeluxe,Steffen H.,1,"Lieferung,Qualität und Verpackung Top!","<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Lieferung früher erhalten als angekündigt. Ware wie immer gut verpackt. Qualität der Artikel Top! Das erst Skateboard für meinen 2 1/2 Jährigen kommt super an :)</p>",5,Auf Einladung,24. Feb. 2025
15,skatedeluxe,Jens Bähr,8,Schneller Versand und top Ware,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Alles bestens wie immer </p>",5,Auf Einladung,22. Feb. 2025
16,skatedeluxe,Lilly,1,Sehr wackelig aber nach dem Fest ziehen…,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Sehr wackelig aber nach dem Fest ziehen top , sieht Mega aus .. perfekt für Anfänger </p>",5,Auf Einladung,21. Feb. 2025
17,skatedeluxe,Fabian Mast,1,Super schnelle Lieferung,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Super schnelle Lieferung, hochwertig verpackt und der Preis unschlagbar! </p>",5,Auf Einladung,20. Feb. 2025
18,skatedeluxe,Anonym,2,Alles bestens!,No comment,5,Auf Einladung,20. Feb. 2025
19,skatedeluxe,Kevin Schmit,1,Schnelle Lieferung,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Schnelle Lieferung, sehr kompetenter und freundlicher Support und natürlich eine gute Qualität an Hosen!<br/><br/>Sehr empfehlenswert!! </p>",5,Auf Einladung,18. Feb. 2025
20,KICKZ,Marc,1,"Anfragen per Mail, telefonisch und Paypal brachten kein Ergebnis","<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Leider habe ich trotz Rücksendung und auch Nachweis des Eingangs der Ware nur teilweise eine Rückerstattung der Beträge erhalten. Kickz ist weder telefonisch erreichbar noch gibt es eine Rückmeldung auf meine 2malige Mailanfragen.  Ich bin seit Stunde eins Kunde bei euch und wurde nie enttäuscht. Die Übernahme durch 11Teamsport und die Umstellung des Warenwirtschaftssystem hat wohl nicht zum erwünschten Erfolg geführt. Selbst eine Paypal -Beschwerde ergab keine Klärung. Ich hoffe, dass in Zukunft alles wieder wie gewohnt bei euch abläuft. Ein enttäuschter Fan/Kunde   Grüße Marc<br/>Applaus für eure Antwort. Wirklich?!?! Ihr wollt euren Kunden jetzt auch noch als Lügner darstellen!?!?! Keine Entschuldigung oder Erklärung von euch?!?! Ich habe euch zwei Mails geschrieben die sogar eine Frist beinhalten haben, Paypal-Fall eröffnet und darauf wurde nicht reagiert. Nachdem ich öffentlich eine Bewertung abgebe werdet ihr aktiv. Sehr merkwürdig. Das spiegelt aber alle anderen Kundenbewertungen der letzten 4 bis 5 Monate ebenfalls wieder.<br/><br/>Mein Fazit für euch..................!!!!!</p>",1,No Invitation,Aktualisiert vor 6 Tagen
21,KICKZ,Felix,1,Sehr schlechter Kundenservice,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Ende November habe ich von meinem Widerrufsrecht gebraucht gemacht und seitdem nur einen Teil des Geldes zurückerstattet bekommen. Meine E-Mails werden ignoriert und telefonisch ist niemand zu erreichen.<br/><br/>Sehr enttäuschender Kundenservice und absolut nicht zu empfehlen. Bin gespannt, ob ich jemals mein Geld wiedersehen werde.</p>",1,No Invitation,4. März 2025
22,KICKZ,Simon,2,Schlechter und langsamer Service,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Retoure wurde ein Artikel angeblich nicht gefunden. <br/>Es war super kompliziert einen defekten Artikel ersetzen zu lassen bzw. das Geld wiederzubekommen!</p>",2,Auf Einladung,4. März 2025
23,KICKZ,Yusuf FIDAN,1,ICH MÖCHTE MEIN GELD ZURÜCK,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">ICH MÖCHTE MEIN GELD ZURÜCK, ICH WARTE SCHON SEIT FAST 2 MONATEN DARAUF, WAS LOS MIT EUCH</p>",1,No Invitation,4. März 2025
24,KICKZ,Schipka,1,Stornierungen und einbehalten von Geld,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Ich bin seit Jahren bei ihnen treuer Kunde gewesen und seit kurzem stornieren sie mir alle meine Bestellungen ohne auch nur einmal einen Grund anzugeben und obwohl das Produkt ganz normal Kaufbar scheint, sodass ich gar kein Wahl habe, als woanders zu bestellen. Absolute nervig und unnötig das ganze.</p>",1,No Invitation,3. März 2025
25,KICKZ,A A,1,Verstehe nicht was mit Kickz passiert…,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Verstehe nicht was mit Kickz passiert ist, hab da so oft früher bestellt hat alles super funktioniert. Jetzt Bestellung vor zwei Wochen gemacht keine Bestätigungsemail kein Versand nichts, auf emails wird nicht geantwortet anrufen kann man nicht. Wenn man eine Filiale direkt anruft können die nicht helfen und wissen nicht was da los ist. Wird wohl die letzte Bestellung hier gewesen sein. Ganz schlecht 👎</p>",1,No Invitation,3. März 2025
26,KICKZ,UlGei,1,Retoure,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Wir haben drei Basketballschuhe gekauft. Eines haben wir behalten und zwei Paar zurückgesendet. Laut Sendungsverfolgung ist die Retoure bereits Ende Januar bei Kickz angekommen. Wir haben weder eine Bestätigung, noch eine Rückzahlung erhalten. Auf E mails antwortet niemand. Wir versuchen jetzt über Paypal unser Geld zurück zu erhalten. Es ist sehr ärgerlich. Die nächsten Basketballschuhe werden wir sicherlich nicht mehr bei Kickz bestellen. </p>",1,No Invitation,2. März 2025
27,KICKZ,Ser Dar,2,Kickz Hamburg,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Kickz Hamburg ist definitiv eine Top-Adresse für Sneaker. Hier hat man die Chance, limitierte Modelle zu bekommen. Das Team ist immer freundlich, zuvorkommend und gut beraten. Ein großes Dankeschön an Amin!</p>",5,No Invitation,28. Feb. 2025
28,KICKZ,Jonatan Bihler,1,"Keine Rückerstattung trotz Rücksendenachweis, keine Antwort vom Kundenservice","<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Basketballschuhe bereits Ende 2024 retourniert (inkl. DHL Sendungsverfolgung), bis jetzt keine Rückerstattung erfolgt und Kundenservice meldet sich trotz mehrerer Emails nicht. Hotline gibt es keine. Ich will meine 229,95 Euro zurück.<br/><br/>@Kickz: Was ist nur aus Eurem Shop geworden? Wie konnte es nach all den Jahren dazu kommen?</p>",1,No Invitation,28. Feb. 2025
29,KICKZ,Nina,2,Eigentlich 0 Sterne..,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Im Dezember habe ich Schuhe bestellt und sie auch wieder im Dezember retourniert. Leider bisher immer noch keine Gutschrift. Nach dem der Fall bei Paypal geschlossen wurde, weiß ich nicht mehr wie ich mein Geld wieder bekommen kann. <br/>Nie wieder!!! Keine Empfehlung!! </p>",1,No Invitation,28. Feb. 2025
30,KICKZ,Dominik Patten,2,Kickz.com reagiert nicht ! Hotline ist nicht erreichbar !,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Kickz.com reagiert nicht ! E-Mails werden ignoriert und zusätzlich ist die Telefon Hotline nicht mehr erreichbar ! <br/>Dazu kommt, dass auf der Website ebenfalls Bugs existieren in meinem Kunden Login existiert keine Bestellhistorie mehr. Ich bestelle seit vielen Jahren bei KICKZ.COM ! aber in Anbetracht dieser Ereignisse nicht mehr ! <br/>Meine Retoure wird nicht bearbeitet und das Geld wird komplett via Paypal abgebucht. <br/></p>",1,No Invitation,27. Feb. 2025
31,KICKZ,Julian,1,Mooncourt geht nicht,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Mooncourt geht nicht. Ich habe mir als Sammler und großer Basketball fan für viel Geld Mooncourt geholt. Jetzt kann ich aber meine Vorteile nicht mehr nutzen seit dem es den neuen Onlineshop gibt. <br/><br/>Antwort: Das würde mich freuen, diese vorteile wieder nutzen zu können. Nur ist mir nicht klar, weshalb man mit einen noch nicht fertigen Shop online geht.</p>",1,No Invitation,Aktualisiert am 4. März 2025
32,KICKZ,Bettina Graul-Geissler,4,"Keine Lieferung, kein Kontakt möglich","<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Vor einer Woche bestellt, Bestellung im<br/>Kundenkonto ersichtlich, Geld wurde auch gerne genommen. ABER noch nicht mal eine Mail, Artikel ist verfügbar und sollte immer von 1-3 Tagen da sein. <br/>Reaktion auf Kontaktformular KEINE<br/>Reaktion auf Telefon KEINE, denn eine Nummer existiert nicht, die andere hat immer nur eine Ansage, man habe keine Zeit für telefonische Erreichbarkeit. <br/>BETRUG?!</p>",1,No Invitation,27. Feb. 2025
33,KICKZ,Linda Behrendt,1,Retour nicht erstattet,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Im Dezember Schuhe bestellt und retouniert bis heute das Geld nicht zurück erhalten. Schon 3x das Kontaktformular mit Sendungsnummer und allem ausgefüllt. Keine Reaktion. Kundenservice ist telefonisch seit Wochen gar nicht erreichbar. Ganz schlecht.</p>",1,No Invitation,27. Feb. 2025
34,KICKZ,Erika,2,die Retoure funktioniert nicht,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">die Retoure funktioniert nicht! in meinem Account ist die Bestellung nicht zu finden. Habe auch schon paar mal eine Email geschrieben, ohne Erfolg. Die Telefonnummer ist nicht vergeben. Vielleicht klappt es auf diesem Weg. BE K001-10002666488.<br/><br/>gebe 1 Stern dazu, weil nach der Nachricht auf Trustpilot alles reibungslos lief, auch das Geld wurde bereits erstattet. </p>",3,No Invitation,Aktualisiert am 5. März 2025
35,KICKZ,Benedikt Wiest windowsfenster,3,Leider keine Reaktion auf meine Bestellung,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Hallo,<br/>leider habe ich wiederholt Probleme.<br/>am 08.02.25 habe ich eine Bestellung aufgegeben, die ich bis heute nicht erhalten habe.<br/>Auf meine E-Mail vom 18.02.25 wurde ebenfalls nicht reagiert.<br/><br/>Ich würde mich freuen, wenn sich wer mit mir ins Verbindung setzen kann.<br/><br/>Vielen Dank!</p>",1,Auf Einladung,26. Feb. 2025
36,KICKZ,Sabine Deinhardt,1,Ich kann das returenlabel nicht öffnen…,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Ich kann das returenlabel nicht öffnen und auf der Website auch nicht erstellen. Aus Mails an den Customer Support antwortet niemand und telefonisch erreiche ich auch niemanden.<br/>Wie sende ich nun die Ware zurück???</p>",1,No Invitation,26. Feb. 2025
37,KICKZ,Irina Balzer,1,Kundenservice,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Der Kundenservice hat sich nach der Bewertung schnell gemeldet und das Problem war erledigt. Danke.</p>",4,Auf Einladung,Aktualisiert am 1. März 2025
38,KICKZ,Gabriele,1,Zuverlässige Information und Versand per DHL,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Übersichtliche Website, gute Produktinfo</p>",5,Auf Einladung,25. Feb. 2025
39,KICKZ,Paul,8,Vorsicht !!!,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Hallo.<br/>Kann leider nur ein Stern vergeben, <br/>weil der Service mangelhaft ist,<br/>oder besser gesagt nicht vorhanden ist.<br/>Habe am 6.Dezember Schuhe per Retoure ( leider zu klein ) zurückgeschickt. <br/>Seit dem nichts mehr gehört.<br/>Kundendienst Telefonisch nicht erreichbar. <br/>Per Email wird man nur maschinell <br/>vertröstet. <br/>Keine Kaufempfehlung!!!!<br/>Gruß    Andreas.</p>",1,Auf Einladung,25. Feb. 2025
40,Zalando GmbH,Angelika Reinheimer,1,Die Ware kam schnell und pünktlich,"<p class=""typography_body-l__v5JLj typography_appearance-default__t8iAq"" data-service-review-text-typography=""true"">Die Ware kam schnell und pünktlich,  a b e r<br/>die Verpackung war sehr schlecht und zum Teil kaputt da in zu enger Papier- und Plastiktüte geliefert. Die Ware war zum Glück unbeschädigt!  Da die Schuhe nicht passten gehen sie zurück! <br/>Auch nicht so einfach! QR - Code funktionierte nicht- sei Nichts zu retournieren! Ging dann nur über gesondert über Zalando!  Macht so kein Spaß, kein angenehmes Kauferlebnis!<br/></p>",3,No Invitation,Vor 3 Tagen
